nom_standard,code_insee,code_postal,dep_code,dep_nom,population,maire_nom,maire_prenom
Chavannes-sur-Reyssouze,01094,1190.0,01,Ain,767.0,DOUARD,Dominique
Nivigne et Suran,01095,1250.0,01,Ain,832.0,PRIN,Bernard
Chaveyriat,01096,1660.0,01,Ain,1036.0,JACQUET,Claude
Chazey-Bons,01098,1300.0,01,Ain,1188.0,LALLEMENT,Philip
Chazey-sur-Ain,01099,1150.0,01,Ain,1600.0,ANDRÉ,Claire
Cheignieu-la-Balme,01100,1510.0,01,Ain,131.0,BUET,Marc
Chevillard,01101,1430.0,01,Ain,150.0,BROCHARD,Alain Daniel
Chevroux,01102,1190.0,01,Ain,973.0,SAVOT,Dominique
Chevry,01103,1170.0,01,Ain,2261.0,MITZAS,Stéphane
Chézery-Forens,01104,1410.0,01,Ain,445.0,VUAILLAT,Bernard
Civrieux,01105,1390.0,01,Ain,1916.0,PORRETTI,Gérard
Cize,01106,1250.0,01,Ain,176.0,DESBOIS,Luc
Cleyzieu,01107,1230.0,01,Ain,140.0,PEYSSON,Jean
Coligny,01108,1270.0,01,Ain,1227.0,RAFFIN,Bruno
Collonges,01109,1550.0,01,Ain,2249.0,PERREAL,Lionel
Colomieu,01110,1300.0,01,Ain,163.0,BORGEY,Gilles
Conand,01111,1230.0,01,Ain,135.0,GARIBIAN,Françoise
Condamine,01112,1430.0,01,Ain,473.0,VAILLOUD,Damien
Condeissiat,01113,1400.0,01,Ain,815.0,GAUTIER,Stephen
Confort,01114,1200.0,01,Ain,685.0,BRIQUE,Daniel
Confrançon,01115,1310.0,01,Ain,1348.0,BUELLET,Jean Paul
Contrevoz,01116,1300.0,01,Ain,493.0,BALASTRIER,Jean-Daniel
Conzieu,01117,1300.0,01,Ain,149.0,PEZANT,Pascal
Corbonod,01118,1420.0,01,Ain,1296.0,CHAPEL,Patrick
Corlier,01121,1110.0,01,Ain,117.0,DUPONT,Jean-François
Cormoranche-sur-Saône,01123,1290.0,01,Ain,1162.0,PALLOT,Jacques
Cormoz,01124,1560.0,01,Ain,703.0,SCHWEITZER,Nicolas
Corveissiat,01125,1250.0,01,Ain,596.0,GINDRE,Jonathan
Courmangoux,01127,1370.0,01,Ain,504.0,MORNAY,Mireille
Courtes,01128,1560.0,01,Ain,297.0,PALLEGOIX,Thierry
Crans,01129,1320.0,01,Ain,306.0,MORTREUX,Françoise
